Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2001-0477-USA,2001,477,Natural,Meteorological,Storm,,,,Affect,United States of America (the),USA,Northern America,Americas,"Watkins area (Adams district, Colorado province)",,Hail,,,,,,,Kph,,,,,2001,6,21,2001,6,21,,2,120,,122,,,,69.25933995
2001-0242-USA,2001,242,Natural,Meteorological,Storm,Tropical cyclone,,Allison,Kill,United States of America (the),USA,Northern America,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Flood,,,,Yes,,,Kph,,,,,2001,6,5,2001,6,17,41,,102000,70000,172000,,3500000,6000000,69.25933995
2001-0106-USA,2001,106,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces",,Transport accident,,,,,,,Kph,,,,,2001,2,22,2001,2,22,11,100,,,100,,,,69.25933995
2001-0102-USA,2001,102,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)",,,,,,,,,Kph,,,,,2001,2,24,2001,2,24,7,30,900,,930,,200500,250000,69.25933995
2001-0194-USA,2001,194,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Marion, Clay districts (Florida province)",,,,,,,,,Kph,,,,,2001,3,29,2001,3,29,,,492,,492,,,1800,69.25933995
2001-0270-USA,2001,270,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Hoisington city (Barton district, Kansas province)",,,,,,,,,Kph,,,,,2001,4,21,2001,4,21,1,32,1707,,1739,,,,69.25933995
2001-0351-USA,2001,351,Natural,Meteorological,Storm,Convective storm,Tornado,,Declar/Int,United States of America (the),USA,Northern America,Americas,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)",,,,,,,,,Kph,,,,,2001,6,14,2001,6,14,,,75,18,93,,,,69.25933995
2001-0473-USA,2001,473,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Siren city (Burnett district, Wisconsin province)",,,,,,,,,Kph,,,,,2001,6,18,2001,6,18,3,8,360,,368,,,10000,69.25933995
2001-0474-USA,2001,474,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Brainerd city (Crow King district, Minnesota province)",,,,,,,,,Kph,,,,,2001,6,13,2001,6,13,,,225,,225,,,,69.25933995
2001-0564-USA,2001,564,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",,,,,,,,,Kph,,,,,2001,10,10,2001,10,10,,7,300,,307,,,,69.25933995
2001-0566-USA,2001,566,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Howard, Prince George's districts (Maryland province)",,,,,,,,,Kph,,,,,2001,9,24,2001,9,24,2,50,,1000,1050,,,30000,69.25933995
2001-0601-USA,2001,601,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Pasadena city (Harris district, Texas province)",,,,,,,,,Kph,,,,,2001,10,11,2001,10,11,,,360,,360,,,4000,69.25933995
2001-0602-USA,2001,602,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Hondo city (Medina district, Texas province)",,,,,,,,,Kph,,,,,2001,10,12,2001,10,12,,2,1800,150,1952,,,7000,69.25933995
2001-0773-USA,2001,773,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Jakson town (Dakota district, Nebraska province)",,,,,,,,,Kph,,,,,2001,8,17,2001,8,17,,2,200,,202,,,3000,69.25933995
2001-0099-USA,2001,99,Natural,Geophysical,Earthquake,Ground movement,,,Affect,United States of America (the),USA,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",,,,,,,,7,Richter,47.149,-122.7266667,10:54,,2001,2,28,2001,2,28,1,400,,,400,,305000,2000000,69.25933995
2001-0262-USA,2001,262,Natural,Hydrological,Flood,Riverine flood,,,Affect,United States of America (the),USA,Northern America,Americas,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",Ice jam/break,,,,,,,24,Km2,,,,ROck river,2001,2,27,2001,3,1,,,200,,200,,,,69.25933995
2001-0268-USA,2001,268,Natural,Hydrological,Flood,Riverine flood,,,Affect,United States of America (the),USA,Northern America,Americas,"Minnesota, Iowa, Wisconsin, Illinois provinces",Snowmelt,,,,,,,63380,Km2,,,,"Minnesota, Mississippi, St. Croix and Red",2001,4,15,2001,5,15,1,,4400,,4400,,,13000,69.25933995
2001-0724-USA,2001,724,Natural,Hydrological,Flood,Riverine flood,,,Affect,United States of America (the),USA,Northern America,Americas,Texas province,Heavy rain,,,,,,,7730,Km2,,,,"Nueces, Colorado, Guadalupe, Mission, Frio, San Antonio Oso Creek in Corpus Christi, Yegya Creek.",2001,11,15,2001,11,19,9,,600,,600,,,,69.25933995
2001-0770-USA,2001,770,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,,,,,,,,°C,,,,,2001,8,,2001,8,,56,,,,,,,,69.25933995
2001-0303-USA,2001,303,Natural,Climatological,Wildfire,Forest fire,,,Affect,United States of America (the),USA,Northern America,Americas,Florida province,,,,,,,,1030,Km2,,,,,2001,4,,2001,4,,1,10,129,,139,,,,69.25933995
2001-0451-USA,2001,451,Natural,Climatological,Wildfire,Forest fire,,,SigDis,United States of America (the),USA,Northern America,Americas,"Oregon, Washington, Idaho, California, Nevada, Colorado, Arizona, Wyoming, Texas, Oklahoma provinces",,,,,,,,797,Km2,,,,,2001,8,,2001,8,,,,,,,,,,69.25933995
2001-0722-USA,2001,722,Natural,Climatological,Wildfire,Forest fire,,,SigDis,United States of America (the),USA,Northern America,Americas,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces",,,,,,,,283,Km2,,,,,2001,10,30,2001,10,30,1,,,,,,,,69.25933995
2001-0100-USA,2001,100,Technological,Technological,Transport accident,Air,,Bimotor C23 sherpa,Kill,United States of America (the),USA,Northern America,Americas,Georgia,,,,,,,,,,,,,,2001,3,3,2001,3,3,21,,,,,,,,69.25933995
2001-0195-USA,2001,195,Technological,Technological,Transport accident,Air,,Gulfstream III,Kill,United States of America (the),USA,Northern America,Americas,Aspen,,,,,,,,,,,,,,2001,3,29,2001,3,29,18,,,,,,,,69.25933995
2001-0623-USA,2001,623,Technological,Technological,Transport accident,Air,,Airbus-300,Kill,United States of America (the),USA,Northern America,Americas,Queens area (New York),,,,,,,,,,,,,,2001,11,12,2001,11,12,265,16,,,16,,,,69.25933995
2001-0300-USA,2001,300,Technological,Technological,Transport accident,Water,,Arctic Rose,Kill,United States of America (the),USA,Northern America,Americas,Bering sea,,,,,,,,,,,,,,2001,4,2,2001,4,2,15,,,,,,,,69.25933995
2001-0466-USA,2001,466,Technological,Technological,Transport accident,Rail,,,Affect,United States of America (the),USA,Northern America,Americas,Loop (Chicago),,,,,,,,,,,,,,2001,8,3,2001,8,3,,117,,,117,,,,69.25933995
2001-0569-USA,2001,569,Technological,Technological,Industrial accident,Explosion,,Coal mine Blue Creek n°5,Kill,United States of America (the),USA,Northern America,Americas,Alabama,,,,,,,,,m3,,,,,2001,9,23,2001,9,23,13,3,,,3,,,,69.25933995
2001-0647-USA,2001,647,Technological,Technological,Miscellaneous accident,Collapse,,Brick façade,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,,,,,,2001,10,25,2001,10,25,11,10,,,10,,,,69.25933995
2001-0771-USA,2001,771,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,"Tennesse, Kentucky provinces",,,,,,,,,Kph,,,,,2001,8,,2001,8,,11,,,200,200,,,,69.25933995
2001-0772-USA,2001,772,Natural,Hydrological,Flood,,,,Affect,United States of America (the),USA,Northern America,Americas,District of Columbia province,,,,,,,,,Km2,,,,,2001,8,,2001,8,,,,3600,,3600,,,,69.25933995
2002-0165-USA,2002,165,Natural,Meteorological,Storm,,,,Affect,United States of America (the),USA,Northern America,Americas,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,Cumberland river,2002,3,19,2002,3,19,6,4,750,,754,,200500,200500,70.35781897
2002-0724-USA,2002,724,Natural,Meteorological,Storm,Tropical cyclone,,Lili,Regional,United States of America (the),USA,Northern America,Americas,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",,Flood,,,,,,,Kph,,,,,2002,10,3,2002,10,3,,,,,,,750000,2000000,70.35781897
2002-0017-USA,2002,17,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania,",,Transport accident,,,,,,114,Kph,,,,,2002,1,,2002,1,,24,,,,,,,,70.35781897
2002-0128-USA,2002,128,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Oklahoma, Missouri, Wisconsin, Michigan, Arkansas provinces",,Transport accident,,,,,,,Kph,,,,,2002,3,,2002,3,,20,,,,,,,,70.35781897
2002-0283-USA,2002,283,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Happy town (Randall, Swisher districts, Texas province)",,,,,,,,,Kph,,,,,2002,5,5,2002,5,5,2,3,150,30,183,,,,70.35781897
2002-0287-USA,2002,287,Natural,Meteorological,Storm,Convective storm,Tornado,,Declar/Int,United States of America (the),USA,Northern America,Americas,"Wayne, Jefferson districts (Illinois province)",,,,,,,,,Kph,,,,,2002,4,21,2002,4,21,1,12,,,12,,,4000,70.35781897
2002-0310-USA,2002,310,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)",,,,,,Yes,,290,Kph,,,,,2002,4,27,2002,5,3,10,100,,,100,,2000500,2200000,70.35781897
2002-0569-USA,2002,569,Natural,Meteorological,Storm,Convective storm,Tornado,,Affect,United States of America (the),USA,Northern America,Americas,"Ladysmith city (Rusk district, Wisconsin province)",,,,,,,,,Kph,,,,,2002,9,5,2002,9,5,,36,450,51,537,,,20000,70.35781897
2002-0700-USA,2002,700,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Tipton, Carroll, Montgomery, Sumner, Bedford, Coffee, Morgan, Cumberland, Anderson districts (Tennessee province), Henry, Dale, Fayette, Walker, Winston, Lamar, Cullman, Tuscaloosa, Jefferson, Cherokee districts (Alabama province), Van Wert, Paulding, Putnam, Defiance, Athens, Logan, Union, Seneca, Ottawa districts (Ohio province), Allen district (Kentucky province), Cross, Crittenden, Mississippi districts (Arkansas province), Appling, Cherokee, Pickens, Dawson, Atkinson, Coffee districts (Georgia province), Blackford district (Indiana province), Lowndes, Winston, Noxubee, Oktibbeha districts (Mississippi province), Mercer district (Pennsylvania province), McCormick district (South Carolina province)",,,,,,,,200,Kph,,,,,2002,11,5,2002,11,10,36,115,3600,351,4066,,450500,700000,70.35781897
2002-0751-USA,2002,751,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Washington DC (District of Columbia district, District of Columbia province), North Carolina, South Carolina, Virginia, New York, Pennsylvania, Kentucky, New Jersey, Maryland, Missouri, Tennesse provinces",,,,,,,,,Kph,,,,,2002,12,4,2002,12,5,30,,,,,,450500,450500,70.35781897
2002-0802-USA,2002,802,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,"Oklahoma, Massachusetts, New York, Arkansas, Missouri, New Mexico, Louisiana, Texas provinces",,,,,,,,,Kph,,,,,2002,12,23,2002,12,23,18,,,,,,,,70.35781897
2002-0183-USA,2002,183,Natural,Hydrological,Flood,Riverine flood,,,Waiting,United States of America (the),USA,Northern America,Americas,"Tennessee, Virginia, Kentucky, Ohio, Arkansas, Oklahoma, Texas provinces",Heavy rain,,,,,,,35390,Km2,,,,"Cumberland, Kentucky and Licking, Tygart and Triplett Creeks, Cumberland, Powell, Clinch, north fork of Holston, Powell, North Fork, Ohio, Buffalo and Black rivers, Poteau, Trinity",2002,3,17,2002,3,24,7,,,,,,,,70.35781897
2002-0266-USA,2002,266,Natural,Hydrological,Flood,Riverine flood,,,Affect,United States of America (the),USA,Northern America,Americas,"Pike district (Kentucky province), Virginia province",Heavy rain,,,,,,,,Km2,,,,"Tug Fork of the Big Sandy River, Knox Creek",2002,5,2,2002,5,8,9,,1000,,1000,,,13000,70.35781897
2002-0411-USA,2002,411,Natural,Hydrological,Flood,Riverine flood,,,Kill,United States of America (the),USA,Northern America,Americas,"Comal, Guadalupe, Bandera, Uvalde, McMullen, Taylor districts (Texas province)",Heavy rain,,,,,,,108300,Km2,,,,"San Antonio, Medina, San Marcos, Sabinal, Frio, Pedernales, Nueces, Guadalupe, Blanco, Atascosa",2002,6,30,2002,7,23,10,,144000,,144000,,200500,1000000,70.35781897
2002-0600-USA,2002,600,Natural,Hydrological,Flood,Riverine flood,,,Affect,United States of America (the),USA,Northern America,Americas,Georgia province,Heavy rain,,,,,,,5460,Km2,,,,,2002,9,21,2002,9,24,,,750,,750,,,,70.35781897
2002-0652-USA,2002,652,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,Affect,United States of America (the),USA,Northern America,Americas,"Louisiane, Mississippi, Alabama, Tennessee provinces",,,,,,,,105,Kph,,,,,2002,9,26,2002,9,27,1,,13200,,13200,,200000,300000,70.35781897
2002-0355-USA,2002,355,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,Arizona province,,,,,,,,,°C,,,,,2002,6,,2002,6,,14,,,,,,,,70.35781897
2002-0092-USA,2002,92,Natural,Climatological,Wildfire,Forest fire,,,Affect,United States of America (the),USA,Northern America,Americas,"Fallbrok area (San Diego district, Californie province)",,,,,,,,23,Km2,,,,,2002,2,10,2002,2,10,,11,,123,134,,,6600,70.35781897
2002-0184-USA,2002,184,Natural,Climatological,Wildfire,Forest fire,,,Affect,United States of America (the),USA,Northern America,Americas,Lincoln district (New Mexico province),,,,,,,,149,Km2,,,,,2002,3,,2002,3,,,,,1300,1300,,,5000,70.35781897
2002-0331-USA,2002,331,Natural,Climatological,Wildfire,Forest fire,,,SigDis,United States of America (the),USA,Northern America,Americas,"Georgia, Alaska provinces",,,,,,,,414,Km2,,,,,2002,5,,2002,5,,,,,,,,,,70.35781897
2002-0351-USA,2002,351,Natural,Climatological,Wildfire,Forest fire,,,Declar/Int,United States of America (the),USA,Northern America,Americas,Colorado province,,,,,,,,770,Km2,,,,,2002,6,8,2002,6,8,,,1500,72,1572,,,20000,70.35781897
2002-0379-USA,2002,379,Natural,Climatological,Wildfire,Forest fire,,,SigDis,United States of America (the),USA,Northern America,Americas,Arizona province,,,,,,,,1320,Km2,,,,,2002,6,20,2002,6,20,,,,1269,1269,,,200500,70.35781897
2002-0618-USA,2002,618,Natural,Climatological,Wildfire,Forest fire,,,Affect,United States of America (the),USA,Northern America,Americas,"Claremont, Glendora, La Verne areas (Los Angeles district, California province))",,,,,,,,93,Km2,,,,,2002,9,22,2002,9,22,,,2000,213,2213,,,,70.35781897
2002-0625-USA,2002,625,Natural,Climatological,Wildfire,Forest fire,,,SigDis,United States of America (the),USA,Northern America,Americas,Oregon province,,,,,,,,2023,Km2,,,,,2002,7,,2002,7,,,,,,,,,,70.35781897
2002-0312-USA,2002,312,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,SigDam,United States of America (the),USA,Northern America,Americas,Arizona province,,,,,,,,145,Km2,,,,,2002,4,,2002,4,,,,,,,,,,70.35781897
2002-0502-USA,2002,502,Natural,Biological,Epidemic,Viral disease,,West Nile Fever,Affect,United States of America (the),USA,Northern America,Americas,"Alabama, district of Columbia, Illinois, Indiana, Louisiana, Mississippi, Texas, Florida, Massachusetts, Missouri, New York City, Ohio, Georgia, Kentucky, Maryland, Michigan, Nebraska, South Dacota, Tennessee, Texas, Virginia, Wisconsin",,,,,No,No,,,Vaccinated,,,,,2002,7,9,2002,11,26,214,,3523,,3523,,,,70.35781897
2002-0858-USA,2002,858,Natural,Biological,Epidemic,Viral disease,,Acute respiratory syndrome (SARS),Affect,United States of America (the),USA,Northern America,Americas,"Alabama, California, Connecticut, Georgia, Hawaii, Illinois, Kansas, Maine, Massachusetts, Michigan, Missouri, Mississippi, Minnesota, New Jersey, New Mexico, North Carolina, New York, Pennsylvannia, Rhode Island, Texas, Utah, Virginia, Wisconsin",,,,,No,No,,,Vaccinated,,,,,2003,2,24,2003,7,13,,,29,,29,,,,70.35781897
2002-0582-USA,2002,582,Technological,Technological,Transport accident,Road,,,Kill,United States of America (the),USA,Northern America,Americas,Maine State,,,,,,,,,,,,,,2002,9,12,2002,9,12,14,,,,,,,,70.35781897
2002-0277-USA,2002,277,Technological,Technological,Transport accident,Water,,,Kill,United States of America (the),USA,Northern America,Americas,Near Inagua Isl. (Florida),,,,,,,,,,,,,,2002,5,10,2002,5,10,28,,,,,,,,70.35781897
2002-0324-USA,2002,324,Technological,Technological,Transport accident,Water,,,Kill,United States of America (the),USA,Northern America,Americas,Sallisaw (Oklahoma),,,,,No,No,,,,,,,,2002,5,26,2002,5,26,14,,,,,,,,70.35781897
2002-0230-USA,2002,230,Technological,Technological,Transport accident,Rail,,,Affect,United States of America (the),USA,Northern America,Americas,"Placentia (Orange county, Los Angeles, California)",,,,,,,,,,,,,,2002,4,23,2002,4,23,4,150,,,150,,,,70.35781897
2002-0288-USA,2002,288,Technological,Technological,Transport accident,Rail,,,Affect,United States of America (the),USA,Northern America,Americas,Near Crescent city (Florida),,,,,,,,,,,,,,2002,4,18,2002,4,18,4,150,,,150,,,,70.35781897
2002-0460-USA,2002,460,Technological,Technological,Transport accident,Rail,,"Train ""Capitol Limited""",Affect,United States of America (the),USA,Northern America,Americas,Near Kensington (Maryland),,,,,,,,,,,,,,2002,7,29,2002,7,29,,101,,,101,,,,70.35781897
2002-9853-USA,2002,9853,Natural,Climatological,Drought,Drought,,,SigDis,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,,,,,,,,Km2,,,,,2002,7,,2002,8,,,,,,,,,3300000,70.35781897
2002-0775-USA,2002,775,Technological,Technological,Miscellaneous accident,Fire,,Apartment building,Affect,United States of America (the),USA,Northern America,Americas,Harlem (New York),,,,,,,,,,,,,,2002,11,19,2002,11,19,,12,,200,212,,,,70.35781897
2002-0119-USA,2002,119,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces",,,,,,,,,Kph,,,,,2002,1,30,2002,2,8,28,,,,,,200500,400000,70.35781897
2002-0667-USA,2002,667,Natural,Biological,Epidemic,,,,Affect,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Vaccinated,,,,,2002,10,16,2002,10,16,,,101,,101,,,,70.35781897
2002-0793-USA,2002,793,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,"Marin, Los Angeles, Santa Cruz districts (California province), Oregon, Nevada provinces",,,,,,,,,Kph,,,,,2002,12,19,2002,12,19,13,,,,,,,,70.35781897
2002-0880-USA,2002,880,Natural,Meteorological,Storm,,,,Affected,United States of America (the),USA,Northern America,Americas,"Fulton, Tioga, Broome, Oswego, Delaware, Dutchess districts (New York province), Wayne district (Pennsylvania province), Connecticut, Massachusetts, Michigan, New Hampshire, New Jersey, Ohio, Wisconsin provinces",,,,,,,,,Kph,,,,,2002,5,30,2002,6,1,1,47,,,47,,200500,,70.35781897
2003-0085-USA,2003,85,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Declar/Int,United States of America (the),USA,Northern America,Americas,"Delaware, Kentucky, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, District of Columbia, Ohio, Pennsylvania, Rhode Island, Tennessee, Virginia, Vermont, West Virginia, Illinois, Missouri, Iowa, Nebraska, Connecticut provinces",,,,,,Yes,,,Kph,,,,,2003,2,14,2003,2,18,44,,120,,120,,200000,200000,71.95500655
2003-0011-USA,2003,11,Technological,Technological,Transport accident,Air,,Beech 1900D,Kill,United States of America (the),USA,Northern America,Americas,Charlotte airport (North Carolina),,,,,No,No,,,,,,,,2003,1,8,2003,1,8,21,,,,,,,,71.95500655
2003-0126-USA,2003,126,Technological,Technological,Transport accident,Air,,Helicopter,Kill,United States of America (the),USA,Northern America,Americas,Near Fort Drum (New York state),,,,,No,No,,,,,,,,2003,3,11,2003,3,11,11,2,,,2,,,,71.95500655
2003-0070-USA,2003,70,Technological,Technological,Industrial accident,Explosion,,Pharmaceutic factory,Waiting,United States of America (the),USA,Northern America,Americas,"Kinston, near Chapel Hill (North Carolina)",,,,,No,No,,,m3,,,,,2003,1,29,2003,1,29,4,9,,,9,,,,71.95500655
2003-0088-USA,2003,88,Technological,Technological,Miscellaneous accident,Other,,"Nightclub ""Epitome""",Kill,United States of America (the),USA,Northern America,Americas,Chicago,,,,,No,No,,,,,,,,2003,2,17,2003,2,17,21,30,,,30,,,,71.95500655
2003-0095-USA,2003,95,Technological,Technological,Miscellaneous accident,Fire,,Nightclub,Kill,United States of America (the),USA,Northern America,Americas,West Warwick (Rhode Isl. State),,,,,,,,,,,,,,2003,2,20,2003,2,20,100,150,,,150,,,,71.95500655
2003-0108-USA,2003,108,Technological,Technological,Miscellaneous accident,Fire,,"Nursing home""Greenwood Health Care Center""",Kill,United States of America (the),USA,Northern America,Americas,Hartford (Connecticut),,,,,No,No,,,,,,,,2003,2,26,2003,2,26,11,20,100,,120,,,,71.95500655
2003-0595-USA,2003,595,Natural,Meteorological,Storm,,,,Affected,United States of America (the),USA,Northern America,Americas,"West Virginia, Tennessee, Kentucky, Pennsylvania, North Carolina, Virginia provinces",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2003,11,20,2003,11,20,8,,1125,,1125,,450000,,71.95500655
2003-0139-USA,2003,139,Natural,Meteorological,Storm,Convective storm,Tornado,,Affected,United States of America (the),USA,Northern America,Americas,"Mitchell, Worth districts (Georgia province), Jackson district (Alabama province) North Carolina, South Carolina, Tennessee provinces",,Hail,Flood,,,,,,Kph,,,,,2003,3,18,2003,3,20,6,200,,186,386,,450000,5000000,71.95500655
2003-0829-USA,2003,829,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,"Alabama, Illinois, Indiana, Louisiana, Michigan, Missouri, Mississippi, New York, Tennessee,Texas, Pennsylvania, Nebraska, Wisconsin provinces",,Hail,Snow/ice,,,,,,Kph,,,,,2003,4,4,2003,4,8,13,,,,,,,2100000,71.95500655
2003-0334-USA,2003,334,Natural,Hydrological,Flood,Riverine flood,,,Affected,United States of America (the),USA,Northern America,Americas,"Allen, Carroll, Adams, Cass, Howard, Tipton, Wells, Miami, Boone, Jennings, Clay, Tippecanoe, Huntington, Decatur districts (Indiana province), Allen, Auglaize, Van Wert, Darke, Mercer, Miami districts (Ohio province), Mercer, Shelby, Logan, Hamilton, Winnebago districts (Illinois province)",Heavy rains,Rain,,,,,,150500,Km2,,,,"Wabash, White, Mississinewa, St Mary's, Eel, White, Tippecanoe, Muscatatuck, West Fork Whitewater, Wilcat, Deer and Pipe Creeks, Chagrin, Blanchardn Maumee, Miami, Pike, Scioto, Warren, Great Miami, Sandusky and White",2003,7,5,2003,7,21,3,,1200,,1200,,,106000,71.95500655
2003-0468-USA,2003,468,Natural,Meteorological,Storm,Tropical cyclone,,Isabel,Kill,United States of America (the),USA,Northern America,Americas,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",,Flood,,,,Yes,,170,Kph,,,,,2003,9,18,2003,9,22,16,,225000,,225000,,1685000,3370000,71.95500655
2003-0782-USA,2003,782,Natural,Meteorological,Storm,Tropical cyclone,,Bill,Declar,United States of America (the),USA,Northern America,Americas,"Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",,Flood,,,,Yes,,95,Kph,,,,,2003,6,30,2003,6,30,4,4,,,4,,22000,50000,71.95500655
2003-0741-USA,2003,741,Natural,Meteorological,Storm,,,,Affected,United States of America (the),USA,Northern America,Americas,"Morgan, Leslie, Breathitt, Menifee districts (Kentucky province), Wayne, Cabell, Kanawha, Lincoln, Mingo districts (West Virginia province), Dickenson, Tazewell, Wise, Buchanan districts (Virginia province), Alabama, Connecticut, Delaware, Florida, Georgia, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont provinces",Rain and snow,Flood,,,,,,36130,Kph,,,,,2003,2,15,2003,2,23,4,18,100,,118,,450000,400000,71.95500655
